id,slug,name,pop_2010,pop2010_18over,_bookings,_jaildays,_cost,_sex_m,_sex_f,_race_h,_race_b,_race_w,_race_o2,_charge_m,_charge_f,_charge_o
1,angeles-forest,Angeles Forest,1178069,901279,181,4372,637214,144,37,30,8,138,5,94,86,1
2,antelope-valley,Antelope Valley,493363,350003,42403,1115916,1.61418e+008,32006,10397,15517,14788,11537,561,18913,22997,481
5,harbor,Harbor,2288295,1666602,30081,499323,7.58141e+007,23277,6804,14800,6855,6151,2275,16103,13522,448
10,san-gabriel-valley,San Gabriel Valley,2145132,1602990,48890,884637,1.32896e+008,38640,10250,36430,1802,7001,3657,27985,20424,477
3,central-la,Central L.A.,2246579,1726937,8723,150016,2.2676e+007,7039,1684,3560,2311,2393,459,4653,3960,110
4,eastside,Eastside,590940,441461,16190,278871,4.2145e+007,13322,2868,15607,198,276,109,8332,7529,321
6,northeast-la,Northeast L.A.,626401,495710,1045,16705,2.54886e+006,780,265,789,68,123,65,564,455,25
8,pomona-valley,Pomona Valley,394587,298728,3317,57338,8.66153e+006,2474,843,2114,425,639,139,1963,1309,44
7,northwest-county,Northwest County,667758,485414,11468,177423,2.71905e+007,8697,2771,3997,709,6251,511,6679,4739,44
9,san-fernando-valley,San Fernando Valley,1930166,1496106,8695,136121,2.08275e+007,6627,2068,4356,1008,2789,542,4933,3701,59
11,santa-monica-mountains,Santa Monica Mountains,167743,131088,1863,15583,2.66448e+006,1368,495,147,82,1558,76,1142,708,13
14,south-la,South L.A.,1684089,1204065,40177,797214,1.18509e+008,32135,8042,19628,19680,698,171,17587,22182,392
12,south-bay,South Bay,1526863,1159857,15543,225107,3.48188e+007,12494,3049,7492,4045,3323,683,7352,8035,154
15,verdugos,Verdugos,778113,617042,5455,91573,1.3884e+007,4284,1171,1895,1709,1505,346,3070,2304,81
13,southeast,Southeast,2720985,1957616,75317,1335470,2.01111e+008,61194,14123,56202,10515,7234,1366,38425,35959,913
16,westside,Westside,1555129,1242575,2729,42133,6.45882e+006,2101,628,749,573,1262,145,1576,1127,26
